Field_Set,Field,Type,Example,Description
tls,tls.server.x509.issuer.organization,keyword,Example Inc,List of organizations (O) of issuing certificate authority.
tls,tls.server.x509.issuer.organizational_unit,keyword,www.example.com,List of organizational units (OU) of issuing certificate authority.
tls,tls.server.x509.issuer.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
tls,tls.server.x509.not_after,date,2020-07-16T03:15:39Z,Time at which the certificate is no longer considered valid.
tls,tls.server.x509.not_before,date,2019-08-16T01:40:25Z,Time at which the certificate is first considered valid.
tls,tls.server.x509.public_key_algorithm,keyword,RSA,Algorithm used to generate the public key.
tls,tls.server.x509.public_key_curve,keyword,nistp521,The curve used by the elliptic curve public key algorithm. This is algorithm specific.
tls,tls.server.x509.public_key_exponent,long,65537,Exponent used to derive the public key. This is algorithm specific.
tls,tls.server.x509.public_key_size,long,2048,The size of the public key space in bits.
tls,tls.server.x509.serial_number,keyword,55FBB9C7DEBF09809D12CCAA,Unique serial number issued by the certificate authority.
tls,tls.server.x509.signature_algorithm,keyword,SHA256-RSA,Identifier for certificate signature algorithm.
tls,tls.server.x509.subject.common_name,keyword,shared.global.example.net,List of common names (CN) of subject.
tls,tls.server.x509.subject.country,keyword,US,List of country \(C) code
tls,tls.server.x509.subject.distinguished_name,keyword,"C=US, ST=California, L=San Francisco, O=Example, Inc., CN=shared.global.example.net",Distinguished name (DN) of the certificate subject entity.
tls,tls.server.x509.subject.locality,keyword,San Francisco,List of locality names (L)
tls,tls.server.x509.subject.organization,keyword,"Example, Inc.",List of organizations (O) of subject.
tls,tls.server.x509.subject.organizational_unit,keyword,,List of organizational units (OU) of subject.
tls,tls.server.x509.subject.state_or_province,keyword,California,"List of state or province names (ST, S, or P)"
tls,tls.server.x509.version_number,keyword,3,Version of x509 format.
tls,tls.version,keyword,1.2,Numeric part of the version parsed from the original string.
tls,tls.version_protocol,keyword,tls,Normalized lowercase protocol name parsed from original string.
trace,trace.id,keyword,4bf92f3577b34da6a3ce929d0e0e4736,Unique identifier of the trace.
transaction,transaction.id,keyword,00f067aa0ba902b7,Unique identifier of the transaction within the scope of its trace.
url,url.domain,keyword,www.elastic.co,Domain of the url.
url,url.extension,keyword,png,"File extension from the request url, excluding the leading dot."
url,url.fragment,keyword,,Portion of the url after the `#`.
url,url.full,wildcard,https://www.elastic.co:443/search?q=elasticsearch#top,Full unparsed URL.
url,url.full.text,match_only_text,https://www.elastic.co:443/search?q=elasticsearch#top,Full unparsed URL.
url,url.original,wildcard,https://www.elastic.co:443/search?q=elasticsearch#top or /search?q=elasticsearch,Unmodified original url as seen in the event source.
url,url.original.text,match_only_text,https://www.elastic.co:443/search?q=elasticsearch#top or /search?q=elasticsearch,Unmodified original url as seen in the event source.
url,url.password,keyword,,Password of the request.
url,url.path,wildcard,,"Path of the request, such as ""/search""."
url,url.port,long,443,"Port of the request, such as 443."
url,url.query,keyword,,Query string of the request.
url,url.registered_domain,keyword,example.com,"The highest registered url domain, stripped of the subdomain."
url,url.scheme,keyword,https,Scheme of the url.
url,url.subdomain,keyword,east,The subdomain of the domain.
url,url.top_level_domain,keyword,co.uk,"The effective top level domain (com, org, net, co.uk)."
url,url.username,keyword,,Username of the request.
user,user.changes.domain,keyword,,Name of the directory the user is a member of.
user,user.changes.email,keyword,,User email address.
user,user.changes.full_name,keyword,Albert Einstein,"User's full name, if available."
user,user.changes.full_name.text,match_only_text,Albert Einstein,"User's full name, if available."
user,user.changes.group.domain,keyword,,Name of the directory the group is a member of.
user,user.changes.group.id,keyword,,Unique identifier for the group on the system/platform.
user,user.changes.group.name,keyword,,Name of the group.
user,user.changes.hash,keyword,,Unique user hash to correlate information for a user in anonymized form.
user,user.changes.id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
user,user.changes.name,keyword,a.einstein,Short name or login of the user.
user,user.changes.name.text,match_only_text,a.einstein,Short name or login of the user.
user,user.changes.roles,keyword,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
user,user.domain,keyword,,Name of the directory the user is a member of.
user,user.effective.domain,keyword,,Name of the directory the user is a member of.
user,user.effective.email,keyword,,User email address.
user,user.effective.full_name,keyword,Albert Einstein,"User's full name, if available."
user,user.effective.full_name.text,match_only_text,Albert Einstein,"User's full name, if available."
user,user.effective.group.domain,keyword,,Name of the directory the group is a member of.
user,user.effective.group.id,keyword,,Unique identifier for the group on the system/platform.
user,user.effective.group.name,keyword,,Name of the group.
user,user.effective.hash,keyword,,Unique user hash to correlate information for a user in anonymized form.
user,user.effective.id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
user,user.effective.name,keyword,a.einstein,Short name or login of the user.
user,user.effective.name.text,match_only_text,a.einstein,Short name or login of the user.
user,user.effective.roles,keyword,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
user,user.email,keyword,,User email address.
user,user.full_name,keyword,Albert Einstein,"User's full name, if available."
user,user.full_name.text,match_only_text,Albert Einstein,"User's full name, if available."
user,user.group.domain,keyword,,Name of the directory the group is a member of.
user,user.group.id,keyword,,Unique identifier for the group on the system/platform.
user,user.group.name,keyword,,Name of the group.
user,user.hash,keyword,,Unique user hash to correlate information for a user in anonymized form.
user,user.id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
user,user.name,keyword,a.einstein,Short name or login of the user.
user,user.name.text,match_only_text,a.einstein,Short name or login of the user.
user,user.risk.calculated_level,keyword,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
user,user.risk.calculated_score,float,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
user,user.risk.calculated_score_norm,float,88.73,A normalized risk score calculated by an internal system.
user,user.risk.static_level,keyword,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
user,user.risk.static_score,float,830,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
user,user.risk.static_score_norm,float,83,A normalized risk score calculated by an external system.
user,user.roles,keyword,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
user,user.target.domain,keyword,,Name of the directory the user is a member of.
user,user.target.email,keyword,,User email address.
user,user.target.full_name,keyword,Albert Einstein,"User's full name, if available."
user,user.target.full_name.text,match_only_text,Albert Einstein,"User's full name, if available."
user,user.target.group.domain,keyword,,Name of the directory the group is a member of.
user,user.target.group.id,keyword,,Unique identifier for the group on the system/platform.
user,user.target.group.name,keyword,,Name of the group.
user,user.target.hash,keyword,,Unique user hash to correlate information for a user in anonymized form.
user,user.target.id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
user,user.target.name,keyword,a.einstein,Short name or login of the user.
user,user.target.name.text,match_only_text,a.einstein,Short name or login of the user.
user,user.target.roles,keyword,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
user_agent,user_agent.device.name,keyword,iPhone,Name of the device.
user_agent,user_agent.name,keyword,Safari,Name of the user agent.
user_agent,user_agent.original,keyword,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",Unparsed user_agent string.
user_agent,user_agent.original.text,match_only_text,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",Unparsed user_agent string.
user_agent,user_agent.os.family,keyword,debian,"OS family (such as redhat, debian, freebsd, windows)."
user_agent,user_agent.os.full,keyword,Mac OS Mojave,"Operating system name, including the version or code name."
user_agent,user_agent.os.full.text,match_only_text,Mac OS Mojave,"Operating system name, including the version or code name."
user_agent,user_agent.os.kernel,keyword,4.4.0-112-generic,Operating system kernel version as a raw string.
user_agent,user_agent.os.name,keyword,Mac OS X,"Operating system name, without the version."
user_agent,user_agent.os.name.text,match_only_text,Mac OS X,"Operating system name, without the version."
user_agent,user_agent.os.platform,keyword,darwin,"Operating system platform (such centos, ubuntu, windows)."
user_agent,user_agent.os.type,keyword,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
user_agent,user_agent.os.version,keyword,10.14.1,Operating system version as a raw string.
user_agent,user_agent.version,keyword,12,Version of the user agent.
volume,volume.bus_type,keyword,FileBackedVirtual,Bus type of the device.
volume,volume.default_access,keyword,,Bus type of the device.
volume,volume.device_name,keyword,,Device name of the volume.
volume,volume.device_type,keyword,CD-ROM File System,Volume device type.
volume,volume.dos_name,keyword,E:,DOS name of the device.
volume,volume.file_system_type,keyword,,Volume device file system type.
volume,volume.mount_name,keyword,,Mount name of the volume.
volume,volume.nt_name,keyword,\Device\Cdrom1,NT name of the device.
volume,volume.product_id,keyword,,ProductID of the device.
volume,volume.product_name,keyword,Virtual DVD-ROM,Produce name of the volume.
volume,volume.removable,boolean,,Indicates if the volume is removable.
volume,volume.serial_number,keyword,,Serial number of the device.
volume,volume.size,long,,Size of the volume device in bytes.
volume,volume.vendor_id,keyword,,VendorID of the device.
volume,volume.vendor_name,keyword,Msft,Vendor name of the device.
volume,volume.writable,boolean,,Indicates if the volume is writable.
vulnerability,vulnerability.category,keyword,"[""Firewall""]",Category of a vulnerability.
vulnerability,vulnerability.classification,keyword,CVSS,Classification of the vulnerability.
vulnerability,vulnerability.description,keyword,"In macOS before 2.12.6, there is a vulnerability in the RPC...",Description of the vulnerability.
vulnerability,vulnerability.description.text,match_only_text,"In macOS before 2.12.6, there is a vulnerability in the RPC...",Description of the vulnerability.
vulnerability,vulnerability.enumeration,keyword,CVE,Identifier of the vulnerability.
vulnerability,vulnerability.id,keyword,CVE-2019-00001,ID of the vulnerability.
vulnerability,vulnerability.reference,keyword,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-6111,Reference of the vulnerability.
vulnerability,vulnerability.report_id,keyword,20191018,Scan identification number.
vulnerability,vulnerability.scanner.vendor,keyword,Tenable,Name of the scanner vendor.
vulnerability,vulnerability.score.base,float,5.5,Vulnerability Base score.
vulnerability,vulnerability.score.environmental,float,5.5,Vulnerability Environmental score.
vulnerability,vulnerability.score.temporal,float,,Vulnerability Temporal score.
vulnerability,vulnerability.score.version,keyword,2,CVSS version.
vulnerability,vulnerability.severity,keyword,Critical,Severity of the vulnerability.
